"bcr_patient_barcode","DNAH12_exp","DNAH10_exp","BUB1_exp","C10orf32_exp","SLC12A8_exp","EFNB3_exp","DUOXA1_exp","DUOX1_exp","HDAC1_exp","HRCT1_exp","TNC_exp","AADAC_exp","AAMP_exp","A1CF_exp","PTEN_exp","DTL_exp","BRAF_exp"
"TCGA-MM-A563",2.0101,9.0452,107.035,753.769,128.141,47.7387,1.5075,52.2613,2160.3,81.407,5519.1,0,2209.55,62.3116,2002.01,176.382,78.392
"TCGA-MM-A564",1.2571,10.0566,68.5104,779.383999999999,42.7404,69.7674,3.7461,33.3124,4054.68,220.616,2543.05,0,1941.55,5.6568,1804.53,40.2263,44.626
"TCGA-MM-A84U",0.5634,10.1408,27.0423,912.113,88.4507,28.169,2.0901,35.493,2099.72,144.225,2982.54,1.1268,2105.92,22.5352,1611.27,82.2535,38.8732
"TCGA-MT-A51W",1.0327,11.3593,571.064,237.513,187.429,86.7439,2147.8,7738.28,3840.48,4.647,45483.8,2.0653,2182.54,0,1912.5,550.927,117.724
"TCGA-MT-A51X",0,16.3867,377.888,268.519,243.815,15.8902,1258.84,2653.16,4320.64,4.4691,14949.2,7.4485,2135.74,0,1645.63,250.27,136.06
"TCGA-MT-A67A",0,6.0545,335.015,416.751,501.514,26.2361,3447.74,11747.7,3709.38,18.1635,2040.36,22.1998,3204.84,0,1327.95,324.924,93.8446
"TCGA-MT-A67D",0.947,14.2045,761.837,364.11,419.508,43.5606,1139.71,2113.64,3847.06,1.8939,15374.5,3.7879,3139.2,0,1528.41,311.079,128.788
"TCGA-MT-A67F",1.6648,3.3296,416.204,324.639,169.256,4.9945,1595.44,5160.38,3053.83,17.758,6341.84,0.5549,2599.33,0,1442.84,375.694,145.394
"TCGA-MT-A7BN",2.2222,23.3333,426.667,158.433,385.556,238.889,14.4444,252.222,3635.56,32.2222,8415.56,2.2222,4275.56,0,761.111,543.333,77.7778
"TCGA-MW-A4EC",1.2301,12.7114,35.674,886.11,6.9708,133.675,1.2301,8.611,2473.4,70.938,761.046,0.41,2531.62,84.0595,1677.09,55.3562,73.8083
"TCGA-MZ-A5BI",5.3785,33.8848,697.059,252.921,336.159,146.296,439.088,2055.68,3172.8,6.4543,3013.06,24.7413,2874.83,0.5379,1294.62,638.433,81.216
"TCGA-MZ-A6I9",0.4545,1.3635,713.111,252.248,345.42,25.452,800.485,4076.42,4871.79,7.7265,757.652,1267.6,2563.38,0,851.279,856.734,73.1746
"TCGA-MZ-A7D7",1.938,2.584,1388.24,431.524,718.346,217.054,1697.73,3689.92,6092.38,1.292,19142.1,5.168,1671.19,0,2006.46,364.341,153.101
"TCGA-P3-A5Q6",0,39.9803,646.594,225.568,774.926,110.069,843.406,2443.24,5455.58,4.4423,41033.6,1.9743,2746.3,0.4936,2189.04,593.287,193.978
"TCGA-P3-A5QA",0.4453,21.8204,867.025,222.211,342.891,43.6407,302.043,793.103000000001,4307.96,29.836,175220,0.4453,2461.69,0,1899.71,382.524,101.086
"TCGA-P3-A5QF",0,0.9324,705.827,518.415,422.844,8.3916,1331.1,2709.56,7249.88,2.331,531.935,6.5268,3423.31,0,1111.89,717.482,105.361
"TCGA-P3-A6SX",0,21.1324,835.726,212.727,300.239,123.605,353.888,1872.41,5904.31,4.386,25224.1,0,3370.41,0,2009.97,808.612,85.7257
"TCGA-P3-A6T0",0,12.519,658.857,169.79,1128.14,79.7639,961.792,3120.81,2964.86,42.9223,65907.2,2.8615,2783.87,0,859.519,451.757,146.651
"TCGA-P3-A6T2",1.2914,23.2458,1005.6,448.558,84.8041,25.8287,631.038,1953.08,4112.79,83.0822,31990.1,1.2914,2651.31,0,2366.77,952.217,88.248
"TCGA-P3-A6T3",0.5712,6.283,385.549,275.014,316.436,17.1355,594.962,1802.66,4592.89,7.9966,14383.5,1.1424,3989.72,0,1883.76,162.216,161.645
"TCGA-P3-A6T4",1.5683,12.5463,324.112,358.677,206.13,81.0281,782.177,2488.87,4605.01,4.1821,4062.38,88.3467,3714.22,0.5228,1534.31,203.354,246.744
"TCGA-P3-A6T5",0.4636,11.1253,452.428,340.517,244.292,88.5386,811.491,1612.7,6888.86,10.1982,36023.6,1.3907,3563.8,0,1464.36,501.101,64.4339
"TCGA-P3-A6T6",65.9275,87.9033,542.071,204.294,313.359,37.4403,1300.38,2506.06,3452.65,7.3253,1963.99,4.0696,2076.31,0,1304.71,977.518,116.391
"TCGA-P3-A6T7",0.9753,9.2649,325.735,219.476,248.69,17.5546,1794.94,4751.92,3977.08,8.2897,8180.91,16.5793,4118.98,0,2396.2,496.404,103.377
"TCGA-P3-A6T8",3.2332,108.851,759.801,356.729,282.366,101.846,371.246,1717.36,3809.78,40.9538,53914.1,14.5494,1685.03,0,2160.31,550.721,83.5242
"TCGA-QK-A64Z",1.6717,13.7917,485.216,455.961,215.651,17.1351,872.774,3332.57,4937,3.7614,25628.3,11.2841,3204.68,0,2688.12,439.243,88.601
"TCGA-QK-A652",0.3984,25.0996,334.661,534.661,557.872,25.8964,2014.46,4417.13,4754.98,1.992,33443.4,5.1793,2941.43,0,1669.32,208.765,115.936
"TCGA-QK-A6IF",2.5995,14.9472,549.147,330.788,72.7864,88.3834,264.149,1854.1,2839.97,8.4484,2446.14,20.1462,2571.57,0.6499,1605.2,1156.13,92.2827
"TCGA-QK-A6IG",0.591,0.591,1032.51,242.317,470.449,41.9622,277.228,589.835,4197.4,62.6478,40151.3,25.4137,2673.17,1.182,1626.48,524.232,56.7376
"TCGA-QK-A6IH",1.2107,13.3172,409.806,309.927,78.0872,28.4504,850.406,2699.76,4136.2,12.1065,5953.39,0,3492.13,0,1104.12,263.923,98.063
"TCGA-QK-A6II",0,3.9663,263.097,431.915,156.007,9.9157,1473.24,4042.31,4879.19,14.5431,5952.07,53.5449,2882.83,0,1870.1,189.06,127.582
"TCGA-QK-A6IJ",0.7052,0.7052,337.094,231.312,222.144,9.8731,1407.55,3457.69,5160.79,124.118,8891.4,0,2727.08,0,1226.38,310.296,67.701
"TCGA-QK-A6V9",6.7441,19.483,1177.22,175.347,87.6733,4.4961,525.444,2246.53,4619.33,1.4987,14695.8,19.1083,2487.82,0,182.091,1215.81,173.848
"TCGA-QK-A6VB",0.6713,2.6853,871.713,174.208,327.942,76.8665,615.929,1149.31,5577.35,0.6713,21302.8,10.7412,4178.65,0,883.126,811.63,187.971
"TCGA-QK-A6VC",1.2085,3.6254,570.393,370.393,273.112,44.713,1062.58,2970.39,4052.57,5.4381,1822.96,38.6707,3409.06,0,1702.11,716.616,254.985
"TCGA-QK-A8Z8",0,24.1408,540.098,250.409,1038.05,38.0524,858.887,2164.48,5423.49,4.5008,5261.05,118.658,3205.81,0,1300.74,366.203,164.484
"TCGA-QK-A8Z9",1.0005,15.0075,443.222,407.599,439.72,131.566,361.351,1084.54,4399.7,1.5008,36611.3,0,3358.68,0,1902.45,307.154,70.5353
"TCGA-QK-A8ZA",0,243.716,1253.61,287.624,1358.2,47.3618,240.573,1498.31,2729.72,11.8404,8619.34999999999,550.581,3199.88,0.4934,1674.93,1057.25,217.568
"TCGA-QK-A8ZB",0.6658,756.658,392.81,531.625,189.747,233.023,982.503,3947.74,5119.17,2.996,14315.9,8.6551,1935.75,0.3329,2279.29,294.94,276.298
"TCGA-QK-AA3K",7.7629,15.5258,473.536,410.021,367.678,52.9287,115.074,539.167,2621.03,33.8744,57484.8,0,2099.51,0.7057,1808.05,382.498,119.266
"TCGA-RS-A6TO",2.4,15.2,416,396,318.4,103.2,540.112,792.8,2381.6,178.4,13004.8,4,4101.6,0,1177.6,371.2,218.4
